municipality,ever_treated,treatment,year,gdvote,trarrprop,logdist
7,FALSE,0,2012,7.982288300991058,0,5.4809722900390625
7,FALSE,0,2013,7.277167588472366,0,5.4809722900390625
7,FALSE,0,2015,6.363300234079361,0,5.4809722900390625
7,FALSE,0,2016,7.6177895069122314,0,5.4809722900390625
3,FALSE,0,2012,2.5829175487160683,0,5.7635908126831055
3,FALSE,0,2013,4.2843978852033615,0,5.7635908126831055
3,FALSE,0,2015,2.7149321511387825,0,5.7635908126831055
3,FALSE,0,2016,3.6940686404705048,0,5.7635908126831055
4,FALSE,0,2012,4.954954981803894,0,4.466941833496094
4,FALSE,0,2013,4.76190485060215,0,4.466941833496094
4,FALSE,0,2015,4.878048598766327,0,4.466941833496094
4,FALSE,0,2016,5.988023802638054,0,4.466941833496094
5,FALSE,0,2012,2.8652139008045197,0,5.409008502960205
5,FALSE,0,2013,3.049321286380291,0,5.409008502960205
5,FALSE,0,2015,3.159048780798912,0,5.409008502960205
5,FALSE,0,2016,4.604596644639969,0,5.409008502960205
2,TRUE,0,2012,3.57142873108387,0,2.745988130569458
2,TRUE,0,2013,4.6875,0,2.745988130569458
2,TRUE,0,2015,3.2786883413791656,0,2.745988130569458
2,TRUE,1,2016,5.000000074505806,5,2.745988130569458
6,FALSE,0,2012,18.83852630853653,0,5.5373735427856445
6,FALSE,0,2013,11.304347962141037,0,5.5373735427856445
6,FALSE,0,2015,6.129032373428345,0,5.5373735427856445
6,FALSE,0,2016,9.981851279735565,0,5.5373735427856445
8,FALSE,0,2012,4.16233092546463,0,5.194622039794922
8,FALSE,0,2013,4.585365951061249,0,5.194622039794922
8,FALSE,0,2015,5.727376788854599,0,5.194622039794922
8,FALSE,0,2016,5.976095795631409,0,5.194622039794922
9,FALSE,0,2012,2.134804427623749,0,5.676205635070801
9,FALSE,0,2013,3.07463426142931,0,5.676205635070801
9,FALSE,0,2015,2.376868389546871,0,5.676205635070801
9,FALSE,0,2016,3.4011784940958023,0,5.676205635070801
10,FALSE,0,2012,4.732690751552582,0,4.639281749725342
10,FALSE,0,2013,3.9792388677597046,0,4.639281749725342
10,FALSE,0,2015,5.515832453966141,0,4.639281749725342
10,FALSE,0,2016,6.358381360769272,0,4.639281749725342
11,FALSE,0,2012,3.57142873108387,0,4.937060356140137
11,FALSE,0,2013,7.58928582072258,0,4.937060356140137
11,FALSE,0,2015,4.494382068514824,0,4.937060356140137
11,FALSE,0,2016,4.16666679084301,0,4.937060356140137
12,FALSE,0,2012,12.798789143562317,0,4.7780303955078125
12,FALSE,0,2013,9.055689722299576,0,4.7780303955078125
12,FALSE,0,2015,7.397504150867462,0,4.7780303955078125
12,FALSE,0,2016,7.668145000934601,0,4.7780303955078125
13,FALSE,0,2012,3.934871032834053,0,5.127825736999512
13,FALSE,0,2013,3.3112581819295883,0,5.127825736999512
13,FALSE,0,2015,2.5423727929592133,0,5.127825736999512
13,FALSE,0,2016,5.4572273045778275,0,5.127825736999512
14,FALSE,0,2012,0.7941009476780891,0,5.609581470489502
14,FALSE,0,2013,0.48250905238091946,0,5.609581470489502
14,FALSE,0,2015,0,0,5.609581470489502
14,FALSE,0,2016,0,0,5.609581470489502
15,FALSE,0,2012,3.785426914691925,0,5.785638809204102
15,FALSE,0,2013,4.719975590705872,0,5.785638809204102
15,FALSE,0,2015,3.7580564618110657,0,5.785638809204102
15,FALSE,0,2016,5.855599790811539,0,5.785638809204102
16,FALSE,0,2012,1.6154246404767036,0,5.5509033203125
16,FALSE,0,2013,2.498248964548111,0,5.5509033203125
16,FALSE,0,2015,1.8068155273795128,0,5.5509033203125
16,FALSE,0,2016,2.9073815792798996,0,5.5509033203125
17,FALSE,0,2012,3.999999910593033,0,4.384772777557373
17,FALSE,0,2013,2.3622047156095505,0,4.384772777557373
17,FALSE,0,2015,1.513240858912468,0,4.384772777557373
17,FALSE,0,2016,2.503128908574581,0,4.384772777557373
18,FALSE,0,2012,1.2195121496915817,0,5.536231517791748
18,FALSE,0,2013,1.6675489023327827,0,5.536231517791748
18,FALSE,0,2015,1.4037773944437504,0,5.536231517791748
18,FALSE,0,2016,2.1099554374814034,0,5.536231517791748
19,FALSE,0,2012,11.290322244167328,0,5.876250267028809
19,FALSE,0,2013,9.23076942563057,0,5.876250267028809
19,FALSE,0,2015,3.8461539894342422,0,5.876250267028809
19,FALSE,0,2016,3.2786883413791656,0,5.876250267028809
20,FALSE,0,2012,2.9326962307095528,0,5.658820152282715
20,FALSE,0,2013,3.7386413663625717,0,5.658820152282715
20,FALSE,0,2015,2.721429243683815,0,5.658820152282715
20,FALSE,0,2016,4.288214817643166,0,5.658820152282715
21,FALSE,0,2012,9.611261636018753,0,5.3471550941467285
21,FALSE,0,2013,9.291709959506989,0,5.3471550941467285
21,FALSE,0,2015,7.226261496543884,0,5.3471550941467285
21,FALSE,0,2016,8.229786902666092,0,5.3471550941467285
22,FALSE,0,2012,5.1236748695373535,0,5.951891899108887
22,FALSE,0,2013,7.321428507566452,0,5.951891899108887
22,FALSE,0,2015,5.688073486089706,0,5.951891899108887
22,FALSE,0,2016,7.824427634477615,0,5.951891899108887
23,FALSE,0,2012,10.039369761943817,0,5.3268561363220215
23,FALSE,0,2013,9.902091324329376,0,5.3268561363220215
23,FALSE,0,2015,8.684446662664413,0,5.3268561363220215
23,FALSE,0,2016,9.561248123645782,0,5.3268561363220215
24,FALSE,0,2012,6.100726872682571,0,6.137316703796387
24,FALSE,0,2013,5.526868626475334,0,6.137316703796387
24,FALSE,0,2015,4.752182960510254,0,6.137316703796387
24,FALSE,0,2016,6.749430298805237,0,6.137316703796387
25,FALSE,0,2012,2.5844402611255646,0,5.522979736328125
25,FALSE,0,2013,3.332914784550667,0,5.522979736328125
25,FALSE,0,2015,2.7579424902796745,0,5.522979736328125
25,FALSE,0,2016,3.7224333733320236,0,5.522979736328125
26,FALSE,0,2012,6.505190581083298,0,4.922459602355957
26,FALSE,0,2013,5.390804633498192,0,4.922459602355957
26,FALSE,0,2015,6.156284362077713,0,4.922459602355957
26,FALSE,0,2016,5.953177437186241,0,4.922459602355957
27,FALSE,0,2012,10.516997426748276,0,5.140200614929199
27,FALSE,0,2013,6.858951598405838,0,5.140200614929199
27,FALSE,0,2015,6.983135640621185,0,5.140200614929199
27,FALSE,0,2016,7.894393056631088,0,5.140200614929199
28,FALSE,0,2012,2.7010804042220116,0,5.464848041534424
28,FALSE,0,2013,2.332102321088314,0,5.464848041534424
28,FALSE,0,2015,2.6831287890672684,0,5.464848041534424
28,FALSE,0,2016,3.8636546581983566,0,5.464848041534424
29,FALSE,0,2012,6.877323240041733,0,5.1157755851745605
29,FALSE,0,2013,4.638715460896492,0,5.1157755851745605
29,FALSE,0,2015,3.5676810890436172,0,5.1157755851745605
29,FALSE,0,2016,5.187638103961945,0,5.1157755851745605
30,FALSE,0,2012,9.221311658620834,0,6.165711879730225
30,FALSE,0,2013,6.4467765390872955,0,6.165711879730225
30,FALSE,0,2015,3.951367735862732,0,6.165711879730225
30,FALSE,0,2016,5.100182071328163,0,6.165711879730225
31,FALSE,0,2012,2.390766702592373,0,4.03282356262207
31,FALSE,0,2013,2.9247453436255455,0,4.03282356262207
31,FALSE,0,2015,2.6579827070236206,0,4.03282356262207
31,FALSE,0,2016,2.883588522672653,0,4.03282356262207
32,FALSE,0,2012,7.787682116031647,0,5.551407814025879
32,FALSE,0,2013,7.927952706813812,0,5.551407814025879
32,FALSE,0,2015,6.546340137720108,0,5.551407814025879
32,FALSE,0,2016,7.956216484308243,0,5.551407814025879
37,FALSE,0,2012,4.301075264811516,0,4.955827236175537
37,FALSE,0,2013,4.539006948471069,0,4.955827236175537
37,FALSE,0,2015,3.17460335791111,0,4.955827236175537
37,FALSE,0,2016,4.769475385546684,0,4.955827236175537
38,FALSE,0,2012,5.8055151253938675,0,5.1566386222839355
38,FALSE,0,2013,4.685099795460701,0,5.1566386222839355
38,FALSE,0,2015,3.8304809480905533,0,5.1566386222839355
38,FALSE,0,2016,4.56397719681263,0,5.1566386222839355
39,FALSE,0,2012,7.323029637336731,0,6.235037803649902
39,FALSE,0,2013,6.6124387085437775,0,6.235037803649902
39,FALSE,0,2015,5.743391811847687,0,6.235037803649902
39,FALSE,0,2016,7.659566402435303,0,6.235037803649902
33,TRUE,0,2012,3.864142671227455,0,2.805781841278076
33,TRUE,0,2013,3.730747476220131,0,2.805781841278076
33,TRUE,0,2015,3.838338330388069,0,2.805781841278076
33,TRUE,1,2016,6.010852754116058,0.871024489402771,2.805781841278076
34,FALSE,0,2012,3.693181648850441,0,5.8977580070495605
34,FALSE,0,2013,3.952569141983986,0,5.8977580070495605
34,FALSE,0,2015,3.166363760828972,0,5.8977580070495605
34,FALSE,0,2016,5.473926663398743,0,5.8977580070495605
35,FALSE,0,2012,6.76056370139122,0,4.555244445800781
35,FALSE,0,2013,6.395827978849411,0,4.555244445800781
35,FALSE,0,2015,6.458868831396103,0,4.555244445800781
35,FALSE,0,2016,7.180934399366379,0,4.555244445800781
36,FALSE,0,2012,10.468409955501556,0,5.066511154174805
36,FALSE,0,2013,10.142430663108826,0,5.066511154174805
36,FALSE,0,2015,8.702362328767776,0,5.066511154174805
36,FALSE,0,2016,9.889962524175644,0,5.066511154174805
40,FALSE,0,2012,7.888052612543106,0,6.160257339477539
40,FALSE,0,2013,7.853946089744568,0,6.160257339477539
40,FALSE,0,2015,6.268257647752762,0,6.160257339477539
40,FALSE,0,2016,7.68577978014946,0,6.160257339477539
41,FALSE,0,2012,4.359672963619232,0,5.3704986572265625
41,FALSE,0,2013,3.2122906297445297,0,5.3704986572265625
41,FALSE,0,2015,1.9083969295024872,0,5.3704986572265625
41,FALSE,0,2016,4.341534152626991,0,5.3704986572265625
42,FALSE,0,2012,4.350417107343674,0,5.883378028869629
42,FALSE,0,2013,6.300763040781021,0,5.883378028869629
42,FALSE,0,2015,4.009518027305603,0,5.883378028869629
42,FALSE,0,2016,7.023046165704727,0,5.883378028869629
43,FALSE,0,2012,4.949337616562843,0,5.955500602722168
43,FALSE,0,2013,6.138996034860611,0,5.955500602722168
43,FALSE,0,2015,5.1603905856609344,0,5.955500602722168
43,FALSE,0,2016,6.430446356534958,0,5.955500602722168
46,TRUE,0,2012,8.690503239631653,0,1.5727739334106445
46,TRUE,0,2013,7.085896283388138,0,1.5727739334106445
46,TRUE,0,2015,5.872242897748947,0,1.5727739334106445
46,TRUE,1,2016,10.15244647860527,2.4991650581359863,1.5727739334106445
44,FALSE,0,2012,4.199855029582977,0,5.1927900314331055
44,FALSE,0,2013,4.633204638957977,0,5.1927900314331055
44,FALSE,0,2015,3.3636365085840225,0,5.1927900314331055
44,FALSE,0,2016,5.173876136541367,0,5.1927900314331055
45,FALSE,0,2012,6.347320973873138,0,5.2484965324401855
45,FALSE,0,2013,6.557732075452805,0,5.2484965324401855
45,FALSE,0,2015,4.676710441708565,0,5.2484965324401855
45,FALSE,0,2016,5.679482594132423,0,5.2484965324401855
48,TRUE,0,2012,4.82555516064167,0,3.409165620803833
48,TRUE,0,2013,6.328514218330383,0,3.409165620803833
48,TRUE,0,2015,5.271602049469948,0,3.409165620803833
48,TRUE,1,2016,8.850512653589249,2.6230850219726562,3.409165620803833
49,TRUE,0,2012,4.343129321932793,0,2.222459077835083
49,TRUE,0,2013,5.12189157307148,0,2.222459077835083
49,TRUE,0,2015,4.608236998319626,0,2.222459077835083
49,TRUE,1,2016,8.336396515369415,4.485733985900879,2.222459077835083
51,FALSE,0,2012,6.389514356851578,0,4.116595268249512
51,FALSE,0,2013,6.143724545836449,0,4.116595268249512
51,FALSE,0,2015,5.164113640785217,0,4.116595268249512
51,FALSE,0,2016,5.923023819923401,0,4.116595268249512
47,TRUE,0,2012,4.282115772366524,0,3.5787856578826904
47,TRUE,0,2013,5.507246404886246,0,3.5787856578826904
47,TRUE,0,2015,2.6809651404619217,0,3.5787856578826904
47,TRUE,1,2016,6.191950291395187,NA,3.5787856578826904
50,FALSE,0,2012,5.685320869088173,0,6.145515441894531
50,FALSE,0,2013,6.241510063409805,0,6.145515441894531
50,FALSE,0,2015,4.9043502658605576,0,6.145515441894531
50,FALSE,0,2016,5.544667690992355,0,6.145515441894531
56,FALSE,0,2012,5.738576129078865,0,5.412895202636719
56,FALSE,0,2013,4.602795839309692,0,5.412895202636719
56,FALSE,0,2015,2.843426913022995,0,5.412895202636719
56,FALSE,0,2016,4.609523713588715,0,5.412895202636719
52,FALSE,0,2012,2.7378372848033905,0,5.545724391937256
52,FALSE,0,2013,3.5383030772209167,0,5.545724391937256
52,FALSE,0,2015,2.6377232745289803,0,5.545724391937256
52,FALSE,0,2016,3.5711687058210373,0,5.545724391937256
53,FALSE,0,2012,6.066417694091797,0,5.506834506988525
53,FALSE,0,2013,6.5857358276844025,0,5.506834506988525
53,FALSE,0,2015,5.1972646266222,0,5.506834506988525
53,FALSE,0,2016,6.605812907218933,0,5.506834506988525
55,TRUE,0,2012,16.987179219722748,0,0.7227059602737427
55,TRUE,0,2013,11.66180744767189,0,0.7227059602737427
55,TRUE,0,2015,11.926605552434921,0,0.7227059602737427
55,TRUE,1,2016,17.512691020965576,3.298543930053711,0.7227059602737427
54,FALSE,0,2012,4.968944191932678,0,6.136430263519287
54,FALSE,0,2013,5.58428131043911,0,6.136430263519287
54,FALSE,0,2015,2.725118398666382,0,6.136430263519287
54,FALSE,0,2016,3.1407035887241364,0,6.136430263519287
57,FALSE,0,2012,2.5318386033177376,0,5.529825687408447
57,FALSE,0,2013,3.663640096783638,0,5.529825687408447
57,FALSE,0,2015,2.958763763308525,0,5.529825687408447
57,FALSE,0,2016,3.7658367305994034,0,5.529825687408447
58,FALSE,0,2012,7.817994058132172,0,4.709890365600586
58,FALSE,0,2013,6.858908385038376,0,4.709890365600586
58,FALSE,0,2015,5.976520851254463,0,4.709890365600586
58,FALSE,0,2016,6.510023772716522,0,4.709890365600586
59,FALSE,0,2012,2.5398146361112595,0,5.621740341186523
59,FALSE,0,2013,3.654485195875168,0,5.621740341186523
59,FALSE,0,2015,2.493903785943985,0,5.621740341186523
59,FALSE,0,2016,3.3206716179847717,0,5.621740341186523
60,FALSE,0,2012,5.20816445350647,0,4.8907999992370605
60,FALSE,0,2013,6.639588624238968,0,4.8907999992370605
60,FALSE,0,2015,5.2429452538490295,0,4.8907999992370605
60,FALSE,0,2016,6.589844822883606,0,4.8907999992370605
61,FALSE,0,2012,2.5222551077604294,0,2.8524391651153564
61,FALSE,0,2013,1.8237082287669182,0,2.8524391651153564
61,FALSE,0,2015,3.1613975763320923,0,2.8524391651153564
61,FALSE,0,2016,3.685092180967331,0,2.8524391651153564
62,FALSE,0,2012,3.667481616139412,0,2.1644718647003174
62,FALSE,0,2013,2.369668334722519,0,2.1644718647003174
62,FALSE,0,2015,2.2332506254315376,0,2.1644718647003174
62,FALSE,0,2016,4.444444552063942,0,2.1644718647003174
63,FALSE,0,2012,2.4978090077638626,0,5.480680465698242
63,FALSE,0,2013,2.5236593559384346,0,5.480680465698242
63,FALSE,0,2015,2.6587888598442078,0,5.480680465698242
63,FALSE,0,2016,2.876931242644787,0,5.480680465698242
65,FALSE,0,2012,5.532484874129295,0,5.007697582244873
65,FALSE,0,2013,5.386165156960487,0,5.007697582244873
65,FALSE,0,2015,5.433104187250137,0,5.007697582244873
65,FALSE,0,2016,6.8480148911476135,0,5.007697582244873
66,FALSE,0,2012,6.150466948747635,0,3.937105894088745
66,FALSE,0,2013,4.921700060367584,0,3.937105894088745
66,FALSE,0,2015,3.8440417498350143,0,3.937105894088745
66,FALSE,0,2016,5.824039503931999,0,3.937105894088745
64,FALSE,0,2012,7.665982097387314,0,6.2227349281311035
64,FALSE,0,2013,5.6031640619039536,0,6.2227349281311035
64,FALSE,0,2015,4.163454100489616,0,6.2227349281311035
64,FALSE,0,2016,6.259659677743912,0,6.2227349281311035
67,FALSE,0,2012,4.71390038728714,0,5.825409889221191
67,FALSE,0,2013,6.0771845281124115,0,5.825409889221191
67,FALSE,0,2015,4.946364834904671,0,5.825409889221191
67,FALSE,0,2016,7.052622735500336,0,5.825409889221191
68,FALSE,0,2012,9.637340158224106,0,5.527840614318848
68,FALSE,0,2013,9.210996329784393,0,5.527840614318848
68,FALSE,0,2015,7.517945021390915,0,5.527840614318848
68,FALSE,0,2016,7.577019184827805,0,5.527840614318848
69,FALSE,0,2012,3.5457368940114975,0,5.695077896118164
69,FALSE,0,2013,4.7399550676345825,0,5.695077896118164
69,FALSE,0,2015,3.752337768673897,0,5.695077896118164
69,FALSE,0,2016,4.861174151301384,0,5.695077896118164
70,FALSE,0,2012,5.845749378204346,0,2.8791983127593994
70,FALSE,0,2013,6.083237379789352,0,2.8791983127593994
70,FALSE,0,2015,5.797643959522247,0,2.8791983127593994
70,FALSE,0,2016,7.91524350643158,0,2.8791983127593994
73,TRUE,0,2012,6.096735596656799,0,0.5877866148948669
73,TRUE,0,2013,7.160823047161102,0,0.5877866148948669
73,TRUE,0,2015,6.685688346624374,0,0.5877866148948669
73,TRUE,1,2016,9.677614271640778,2.492324113845825,0.5877866148948669
77,FALSE,0,2012,4.396186396479607,0,5.2625346183776855
77,FALSE,0,2013,4.9109552055597305,0,5.2625346183776855
77,FALSE,0,2015,4.0436457842588425,0,5.2625346183776855
77,FALSE,0,2016,5.463474616408348,0,5.2625346183776855
71,FALSE,0,2012,12.418565154075623,0,5.458393096923828
71,FALSE,0,2013,12.615539133548737,0,5.458393096923828
71,FALSE,0,2015,11.062455922365189,0,5.458393096923828
71,FALSE,0,2016,11.659947782754898,0,5.458393096923828
72,FALSE,0,2012,4.115420952439308,0,4.137882709503174
72,FALSE,0,2013,5.304518714547157,0,4.137882709503174
72,FALSE,0,2015,6.601341068744659,0,4.137882709503174
72,FALSE,0,2016,7.2796933352947235,0,4.137882709503174
74,FALSE,0,2012,5.283018946647644,0,5.254156589508057
74,FALSE,0,2013,4.899135604500771,0,5.254156589508057
74,FALSE,0,2015,3.7685059010982513,0,5.254156589508057
74,FALSE,0,2016,5.926724150776863,0,5.254156589508057
75,FALSE,0,2012,2.307259477674961,0,5.295563697814941
75,FALSE,0,2013,2.2481799125671387,0,5.295563697814941
75,FALSE,0,2015,2.5142474099993706,0,5.295563697814941
75,FALSE,0,2016,3.5389944911003113,0,5.295563697814941
76,FALSE,0,2012,2.7397260069847107,0,5.223701477050781
76,FALSE,0,2013,2.666666731238365,0,5.223701477050781
76,FALSE,0,2015,1.342281885445118,0,5.223701477050781
76,FALSE,0,2016,3.5087719559669495,0,5.223701477050781
78,FALSE,0,2012,10.602568089962006,0,5.4014153480529785
78,FALSE,0,2013,8.530183881521225,0,5.4014153480529785
78,FALSE,0,2015,8.977556228637695,0,5.4014153480529785
78,FALSE,0,2016,10.209424048662186,0,5.4014153480529785
79,FALSE,0,2012,4.150545224547386,0,5.294861316680908
79,FALSE,0,2013,4.341736808419228,0,5.294861316680908
79,FALSE,0,2015,3.0421216040849686,0,5.294861316680908
79,FALSE,0,2016,5.343511328101158,0,5.294861316680908
80,FALSE,0,2012,5.8510638773441315,0,4.944780349731445
80,FALSE,0,2013,8.543603122234344,0,4.944780349731445
80,FALSE,0,2015,7.2027623653411865,0,4.944780349731445
80,FALSE,0,2016,7.6923079788684845,0,4.944780349731445
81,FALSE,0,2012,6.645569950342178,0,5.674971580505371
81,FALSE,0,2013,6.092355400323868,0,5.674971580505371
81,FALSE,0,2015,5.074506625533104,0,5.674971580505371
81,FALSE,0,2016,6.3079774379730225,0,5.674971580505371
84,FALSE,0,2012,4.740903899073601,0,5.80853271484375
84,FALSE,0,2013,5.83634190261364,0,5.80853271484375
84,FALSE,0,2015,3.7840846925973892,0,5.80853271484375
84,FALSE,0,2016,7.21062645316124,0,5.80853271484375
82,TRUE,0,2012,6.629142910242081,0,1.8976198434829712
82,TRUE,0,2013,5.5793993175029755,0,1.8976198434829712
82,TRUE,0,2015,6.458481401205063,0,1.8976198434829712
82,TRUE,1,2016,10.658307373523712,2.7239580154418945,1.8976198434829712
83,FALSE,0,2012,4.032009840011597,0,4.95814847946167
83,FALSE,0,2013,4.171503707766533,0,4.95814847946167
83,FALSE,0,2015,4.666348174214363,0,4.95814847946167
83,FALSE,0,2016,6.22045062482357,0,4.95814847946167
85,TRUE,0,2012,6.395348906517029,0,3.024319648742676
85,TRUE,0,2013,4.139433428645134,0,3.024319648742676
85,TRUE,0,2015,2.3255813866853714,0,3.024319648742676
85,TRUE,1,2016,7.512953132390976,1.597051978111267,3.024319648742676
86,FALSE,0,2012,3.7049125880002975,0,4.724019527435303
86,FALSE,0,2013,2.5963149964809418,0,4.724019527435303
86,FALSE,0,2015,2.4351226165890694,0,4.724019527435303
86,FALSE,0,2016,3.2287821173667908,0,4.724019527435303
87,FALSE,0,2012,7.54617378115654,0,5.535995006561279
87,FALSE,0,2013,7.519640773534775,0,5.535995006561279
87,FALSE,0,2015,6.073619797825813,0,5.535995006561279
87,FALSE,0,2016,8.562300354242325,0,5.535995006561279
88,FALSE,0,2012,3.2240472733974457,0,5.664175033569336
88,FALSE,0,2013,4.116102308034897,0,5.664175033569336
88,FALSE,0,2015,3.0604491010308266,0,5.664175033569336
88,FALSE,0,2016,5.364859476685524,0,5.664175033569336
89,FALSE,0,2012,1.834862306714058,0,5.337826251983643
89,FALSE,0,2013,2.083333395421505,0,5.337826251983643
89,FALSE,0,2015,2.747252769768238,0,5.337826251983643
89,FALSE,0,2016,3.3175356686115265,0,5.337826251983643
90,FALSE,0,2012,2.577873319387436,0,3.7057366371154785
90,FALSE,0,2013,1.4507772400975227,0,3.7057366371154785
90,FALSE,0,2015,1.2178619392216206,0,3.7057366371154785
90,FALSE,0,2016,2.3142509162425995,0,3.7057366371154785
91,TRUE,0,2012,4.062499850988388,0,3.8622024059295654
91,TRUE,0,2013,6.1349693685770035,0,3.8622024059295654
91,TRUE,0,2015,2.341137081384659,0,3.8622024059295654
91,TRUE,1,2016,5.016722530126572,4.009645938873291,3.8622024059295654
95,TRUE,0,2012,4.167214035987854,0,1.8840347528457642
95,TRUE,0,2013,5.142147466540337,0,1.8840347528457642
95,TRUE,0,2015,4.792071133852005,0,1.8840347528457642
95,TRUE,1,2016,5.9267692267894745,1.737874984741211,1.8840347528457642
92,FALSE,0,2012,9.546265751123428,0,5.429477214813232
92,FALSE,0,2013,9.328588843345642,0,5.429477214813232
92,FALSE,0,2015,7.692452520132065,0,5.429477214813232
92,FALSE,0,2016,8.487345278263092,0,5.429477214813232
93,FALSE,0,2012,4.232678562402725,0,5.790816307067871
93,FALSE,0,2013,5.40623776614666,0,5.790816307067871
93,FALSE,0,2015,4.345511645078659,0,5.790816307067871
93,FALSE,0,2016,5.822126939892769,0,5.790816307067871
94,FALSE,0,2012,3.1482957303524017,0,5.45271110534668
94,FALSE,0,2013,4.30394783616066,0,5.45271110534668
94,FALSE,0,2015,3.911503031849861,0,5.45271110534668
94,FALSE,0,2016,5.459286645054817,0,5.45271110534668
96,FALSE,0,2012,7.999999821186066,0,4.118386745452881
96,FALSE,0,2013,4.964539036154747,0,4.118386745452881
96,FALSE,0,2015,1.9379844889044762,0,4.118386745452881
96,FALSE,0,2016,4.3624162673950195,0,4.118386745452881
1,FALSE,0,2012,4.599757120013237,0,NA
1,FALSE,0,2013,4.441395401954651,0,NA
1,FALSE,0,2015,4.750422015786171,0,NA
1,FALSE,0,2016,4.502604156732559,0,NA
